geneSymbol	pagerank_score
PTPN22	0.000313281938570545
C3AR1	0.0003132300334597461
LEP	0.000313152710049038
NFKB2	0.00031294507891822094
PTPN11	0.00031288235871845284
TFRC	0.00031287835257265905
FGR	0.0003126864530942471
IRAK1	0.00031242743883665044
CXCL2	0.0003122635871763238
CD38	0.0003121529123732153
JAK3	0.0003120955297131743
LTA	0.0003120848199043239
CXCL11	0.00031181763415817854
IDO1	0.0003117814283040069
FLT3	0.0003115213127926247
IL7R	0.00031143562572034835
TNFRSF9	0.00031135421758047226
CXCR2	0.00031117378437057954
KDR	0.000311158692585098
BCL6	0.00031101570849897427
CD244	0.00031039462728387656
NCF2	0.000310350133153535
ISG15	0.0003100798671022127
HLA-DRA	0.0003100550620221283
RELB	0.0003099380883818421
SELE	0.00030985598401757987
SIGLEC1	0.00030957253603452095
CCL21	0.00030944336123413295
SDC1	0.0003089860768867412
CSF3R	0.00030890557131461974
APPL1	0.00030879270766927204
PDCD1	0.0003087384861686587
GRB2	0.00030803998899352485
MMP3	0.0003078424753519399
IRF3	0.0003075878023772577
CLEC10A	0.00030753850701461936
FYN	0.0003074328550076255
WDFY4	0.00030740786252984566
CD83	0.00030731614844295343
FCER1G	0.0003071006375265185
CD3E	0.00030646330264925465
CREBBP	0.0003064502146521131
HPRT1	0.0003064320369251903
IL33	0.0003063893914980201
LTB	0.0003063325438093612
ATM	0.00030630555695024833
IKBKB	0.0003057733245504965
PTPN6	0.00030574966131113917
C3	0.0003056435893338798
CR2	0.00030514638972426405
HLA-DQA1	0.0003051190868840108
TNFRSF25	0.0003049042330006
IL1R2	0.00030485061507499924
OSM	0.0003047359999315599
TREM1	0.00030473496066122963
IL23R	0.00030434372025378814
TNFRSF13C	0.00030428951947804767
TAGAP	0.0003041476738965204
CD52	0.00030404957601792057
PRDM1	0.0003038829354530434
TBK1	0.00030377156778947927
LILRB2	0.00030370715489015177
HLA-DQB1	0.0003034044220000795
NOS2	0.00030323528884192407
PDGFRB	0.0003031671424916859
IL21R	0.0003031290029367916
BACE1	0.00030311597796442896
CCR3	0.00030307640501600174
TNFRSF14	0.00030289957363813344
LGALS3	0.00030284151439048776
NCF1	0.0003027261617715673
SPN	0.00030263523643050077
CD79A	0.0003024967540559955
CFLAR	0.0003024712584045942
C1QB	0.0003024438921135578
C5AR1	0.00030229499023807686
IKBKG	0.0003022160942882794
IL12RB1	0.00030190442022499524
IFNA1	0.000301869138087689
C1QA	0.00030182079489459113
RAG1	0.0003017921611090339
LY86	0.00030163346029683764
HLA-A	0.0003016033006520666
CD209	0.0003014981902687737
LGALS9	0.0003014846110573283
IL3RA	0.00030147614821552764
