geneSymbol	pagerank_score
RAC2	0.0002393430984974656
CTNNB1	0.00023929442095998226
LTA	0.00023919682925240094
AICDA	0.00023906024765196995
IL4R	0.0002385827610827588
IL6R	0.00023848981917760358
BCL2L11	0.00023821271527335033
LCP2	0.000237454798371401
GZMA	0.0002370344716124201
IL7R	0.0002364634834701873
ITGAE	0.00023621481679484262
LEP	0.00023603853322593928
RELA	0.00023468060057512812
CD83	0.00023366898959780791
IL1R1	0.00023279086948635572
FASLG	0.0002321818031545526
VAV1	0.00023203151138132742
PDCD1	0.00023187504906805445
CXCL11	0.00023181867269100062
TNFRSF4	0.00023143750827692736
IL3RA	0.0002308115356179611
REL	0.0002297134789331315
CX3CL1	0.0002294671426154379
ITGA4	0.00022901818795577794
CD3E	0.0002289143291707626
FLT3	0.00022882070802746028
SOCS3	0.0002282789076180542
SELE	0.00022792083466401458
IKZF1	0.00022782363242317464
CXCR6	0.00022772183806428768
CXCR1	0.0002272438172084719
MMP2	0.000226669001733685
MTOR	0.00022639736135117807
SPN	0.0002261784574650253
CXCL16	0.00022610835441804207
PPBP	0.0002257841534928308
FCGR1A	0.00022559037662520695
CDKN2A	0.0002255047928053573
RAG2	0.00022520524824367445
CD276	0.00022492245333151825
TNFRSF13B	0.0002246519390850808
IRF8	0.0002243027480634322
CD24	0.0002240734571871606
DECR1	0.00022159364764219323
FYN	0.00022156602121256
CD22	0.0002214899949411418
S1PR1	0.00022125654636921622
PDCD1LG2	0.00022034695375607537
KITLG	0.0002195728336530743
NFKB1	0.00021954675206347545
HLA-DRB1	0.00021908850021695614
NFKB2	0.00021866560874040132
CD244	0.00021864637264539053
VWF	0.00021847219443773712
SPP1	0.00021825871924221818
FGF13	0.0002179075102567498
CD209	0.00021733648547726843
TNFRSF9	0.00021724312618204744
CYCS	0.00021720131625971084
IRF1	0.00021700962400877518
FOXO1	0.00021677330918531179
CD1E	0.00021609355112256771
SIGLEC1	0.00021595952539111375
DOCK8	0.00021594840854928586
CDH1	0.0002155665590700378
BDNF	0.00021553493504749538
CYBB	0.00021459169162122238
ITGB1	0.00021457670157103438
NCR1	0.0002144855343404901
NT5E	0.00021400915241627147
SLAMF6	0.00021379354255280882
CD70	0.00021371810580181488
IL21R	0.00021324212492965938
IL6ST	0.0002129628819212933
TNFSF10	0.0002127709021910085
PAX5	0.00021257689095451055
IL9	0.00021255203607673217
CLEC7A	0.00021235022340121694
NOS2	0.0002121668020086493
CD48	0.00021170593219458476
CD52	0.00021169597109305994
PTPN22	0.00021165264951649498
NFKBIA	0.00021165258575232306
TNFRSF13C	0.00021164212490585154
NGF	0.00021101566404074407
SMAD3	0.00021085784568729136
PI3	0.0002107758824173892
CD79B	0.0002107255938281159
RAG1	0.0002101205861073318
APPL1	0.0002100391998418922
