geneSymbol	pagerank_score
CCL8	0.0002439513114021176
ZAP70	0.00024375905212740262
CSF2RA	0.00024200347748802893
CD163	0.00024108365315361806
LDLR	0.0002410580396188588
ITPKB	0.0002404867725054552
SELP	0.00023961052646658768
TNFSF10	0.00023856411206534464
KITLG	0.00023855473544095757
IL1R2	0.00023812619486191452
ITGAL	0.00023689349877130693
IL11	0.00023662669630761295
MAF	0.00023633923543796384
HLA-C	0.00023624186575164463
CXCR2	0.00023545835317914337
NR3C1	0.0002354050081353941
SLAMF1	0.0002352979651754916
NGF	0.00023479840346518098
THY1	0.0002347783268136711
IL19	0.00023455992431381482
IL9R	0.00023452767546859756
CCND1	0.00023386119714382153
IL24	0.00023298971465987315
CD276	0.00023271572050538757
SMAD3	0.00023268675243417507
IRF3	0.00023255632142265585
TNFSF15	0.0002322829499835416
JAK3	0.00023173431108615642
IL33	0.0002309584543196316
IL12RB2	0.0002307986064229541
IL5RA	0.00023077023451107358
FLT3	0.00023072178538841102
LAMP1	0.00023048901095671666
CCR9	0.00023026609685723802
KLRD1	0.00022966029481690892
IFNA17	0.00022951953099749974
IFNA21	0.000229016997498768
MOG	0.000228916689640111
ITGAE	0.00022884450633407666
TYROBP	0.00022870910100586373
ITGB2	0.00022868008966290466
EP300	0.00022805479303682633
STAT2	0.00022804480603405767
BCL6	0.00022796373004165557
CCR3	0.00022787637013437114
HLA-DRB1	0.00022736914362574793
CCL24	0.00022725108004685555
CDKN2A	0.00022720215584431035
FCGR1A	0.00022655485745201357
VDR	0.00022619018024848148
TNFRSF25	0.00022602990231150182
TNFRSF10A	0.0002260188958764368
KRAS	0.00022570084321386804
ACKR2	0.0002255081562208414
RHOA	0.0002252954678563773
CXCL6	0.0002252741107562271
HGF	0.00022510743053990524
TNFRSF10B	0.00022510116973819034
CD48	0.00022408550449274953
HLA-DQB1	0.0002237718325211288
CD38	0.00022362574246072954
IL23A	0.00022344920597024227
SDC1	0.0002230406561659304
CTNNB1	0.00022264373734216613
TNFAIP3	0.00022256916518026133
KLRC4-KLRK1	0.00022256101705953938
KLRK1	0.00022208626895792066
IFNAR2	0.0002217934132543946
NFATC1	0.00022159551349236494
TSLP	0.00022111671121011743
THBD	0.0002209124676765407
MUC1	0.00022090481270347682
LCN2	0.00022082940134878837
CREB1	0.00022043245964691293
PDGFRA	0.00022033148672192678
FCGR3A	0.00021994742781992409
CDC42	0.00021976464339533943
IRF5	0.0002192040293500281
CDH1	0.00021877907093834737
IKBKG	0.0002186751465205202
HLA-A	0.00021815464231931858
ISG15	0.00021815186353525457
SERPINE1	0.00021814169812879654
ITGA4	0.00021807357855059615
OSM	0.000217948885703205
CCL18	0.00021755983171013816
EGR1	0.000217452510509779
IFNGR2	0.00021742575128343928
PRDM1	0.00021742250994164188
NCR3	0.00021679512309004826
RAG2	0.0002158343816755873
LEPR	0.0002156386436146051
BCL2A1	0.00021529114501040486
CCL1	0.00021525651043696257
HAVCR2	0.00021518234437073656
C3	0.00021500731319996238
TNFRSF11B	0.0002148732414123773
IL22RA1	0.000214675767568261
CD52	0.00021422163940999005
IKBKB	0.00021356219917120664
TNFSF8	0.00021266131384853386
