geneSymbol	pagerank_score
GRB2	0.0016540924681675531
CDKN1B	0.0016529173553260891
ITGAX	0.0016381916662064305
MIEN1	0.0016339584987186116
PPARD	0.0016302015075830272
ATXN1	0.00162629640444515
LRRC18	0.0016166972189536467
IKBKE	0.0016096027665167968
IL19	0.001600896573597716
FAP	0.0015879045619718105
JAZF1	0.0015752356308239644
SRGAP2	0.0015715932790451505
DRAM1	0.001558153929805265
TMEM39A	0.0015538190080202395
DGKQ	0.0015373202500110093
SLC25A19	0.0015339798726491448
ARID5B	0.0014801742082659285
GPR78	0.0014708214530937953
ZFP90	0.0014547761915276636
PHRF1	0.0014512102393249631
SPRED2	0.0014508717385816057
FCHSD2	0.0014273818670091866
LRRC25	0.0014186186232562387
SSBP4	0.001402452638640847
CD58	0.001399073535466079
RAD51B	0.0013723871946440488
MTF1	0.0013555034070633202
HLA-DQB1	0.0013544504771575987
XKR6	0.001354122881537334
ATXN2	0.001348143805911877
PSORS1C1	0.0013317536862331259
TMEM187	0.0013212410066126752
IL12RB2	0.0013159553491459833
CXorf21	0.0013109116018116338
GALC	0.0013106983585869211
LYST	0.001304789099226117
IL2	0.0013010704274718766
KLF2	0.0012848448212646575
CD40	0.001280939144945633
CTLA4	0.0012809098762065283
PXK	0.001280319043120536
ST8SIA4	0.0012760762485996035
TIMMDC1	0.0012718698817851019
IKZF3	0.0012538367082651433
ANKRD27	0.0012481841242147477
PLD2	0.0012419218310094058
ARHGAP15	0.0012348840091957133
SLC6A16	0.001211799495552881
CIITA	0.0011910063208457593
CCL22	0.0011837859090782035
HLA-DPA1	0.0011632631155129628
DOT1L	0.0011541448731880847
AP5B1	0.0011517420450498264
AFF1	0.0011493174908212204
ANKS1A	0.0011472448903485798
TRAF3	0.001132292366540622
ELF1	0.0011301866841452832
RPEL1	0.0011253888210857978
FASLG	0.0011243884216813446
IL7R	0.0011224061466709888
ICOS	0.0011209965811657765
FBN2	0.0011199957924099995
IL21	0.0011144648019895786
IFNA17	0.001111393151391363
CREBL2	0.0011066322837235318
NCOA2	0.0011036587949495849
PLAT	0.0011019643703525618
GRAP2	0.0010975544134761992
NR4A3	0.001095205900117669
EIF4H	0.0010910325743083177
CABP1	0.0010827852823474028
SMYD3	0.0010824213984942622
